seed,rho,loco
8375,0.3,6.876038196025711
6936,0.3,6.98052939968377
5104,0.3,6.9517008433296725
8514,0.3,7.274650377442465
4994,0.3,6.914198509030726
8980,0.3,6.8825819300488265
3925,0.3,6.959471770002289
400,0.3,6.805356036279041
6864,0.3,6.9867904360595485
7441,0.3,6.4808652379311535
9669,0.3,6.861349312300527
5846,0.3,7.073841151101065
3294,0.3,6.921788080855773
7006,0.3,7.032791941107204
7297,0.3,7.0106969666909995
5588,0.3,6.885910046029981
417,0.3,6.914504604618256
5838,0.3,7.101725570094777
6882,0.3,7.06946615356502
9965,0.3,6.660544406215931
9462,0.3,7.091243735831764
9173,0.3,6.676956637128872
1643,0.3,6.728858440299172
1808,0.3,7.002493416262964
1518,0.3,6.862038354937272
3473,0.3,7.071831472709127
8622,0.3,6.776495849569282
7542,0.3,6.858671846800797
3479,0.3,6.7212579012478075
517,0.3,7.0549505882309695
1043,0.3,6.964462402713245
9323,0.3,7.126581518014022
1003,0.3,6.77915818442671
2128,0.3,6.8874725437601905
4286,0.3,6.752988593860632
1230,0.3,6.876306911402858
5036,0.3,7.0192226268014695
4145,0.3,7.133214909444748
7308,0.3,6.839081781348965
4097,0.3,6.849945655087323
5948,0.3,7.002084917954549
4874,0.3,7.039756601526916
9865,0.3,6.866795454420087
313,0.3,7.181360156772207
5854,0.3,6.9623823738877695
1158,0.3,7.062157827469437
7200,0.3,7.264427020146881
9714,0.3,6.793463565232078
2560,0.3,6.662905343005318
836,0.3,6.91470095900894
5187,0.3,6.868269132114563
6808,0.3,7.0854060129419905
4820,0.3,6.827988468051497
7342,0.3,6.917780701098051
8036,0.3,6.736069107167324
3868,0.3,6.724342343833266
3975,0.3,6.64209433207424
4052,0.3,6.571028902952411
3385,0.3,6.921867595472773
5556,0.3,6.876801653964013
9778,0.3,6.89682376141571
6198,0.3,6.932946137519613
1957,0.3,6.754764459909645
255,0.3,7.186326074720236
8953,0.3,6.911515466959368
1707,0.3,6.825848236475899
6953,0.3,6.853726029431016
9184,0.3,7.168837187186477
5370,0.3,6.778308519418329
5693,0.3,7.334644777497066
9246,0.3,7.1209080889810075
1992,0.3,6.959786787311772
1050,0.3,7.142019846218739
3173,0.3,6.624020121360718
3417,0.3,7.030859632472497
6471,0.3,6.77334986152495
468,0.3,6.562361020179392
7043,0.3,6.776545256030447
2403,0.3,6.611301866472982
9931,0.3,6.724016541963941
9952,0.3,7.448971431774018
9986,0.3,6.809963287374771
6863,0.3,6.680388356727646
9007,0.3,6.757730831360948
6624,0.3,6.8412578284810905
5365,0.3,6.933185198813161
5341,0.3,6.791838479474418
6726,0.3,7.0642461657985365
3141,0.3,6.892570147404579
6826,0.3,7.004059153091594
7405,0.3,7.2439666976503725
1189,0.3,6.723484909973128
654,0.3,6.820925861178712
8101,0.3,7.0161355511626375
8817,0.3,6.806441238150417
1948,0.3,6.90856911818981
5881,0.3,7.099215150612163
6346,0.3,7.048513805617314
285,0.3,6.632703339319317
4794,0.3,6.981960600478654
5081,0.3,7.032931015039584
2933,0.3,6.844594712439649
8367,0.3,6.893529132034012
6147,0.3,7.088977267937285
2583,0.3,6.903889738130581
7564,0.3,6.991537470104461
7725,0.3,6.751306839979563
1046,0.3,6.667650331042303
5831,0.3,6.83320757514759
2738,0.3,7.040655833913465
3386,0.3,6.897774059838428
278,0.3,6.921640193479292
4552,0.3,6.606080784532088
9990,0.3,6.937673326250291
3844,0.3,6.7827381240206766
5526,0.3,7.226527741897191
7303,0.3,6.686016209527197
3083,0.3,6.833313231791285
8258,0.3,6.798614270525049
7084,0.3,6.938825307014034
683,0.3,7.0581686392298275
4020,0.3,6.924226976985049
9192,0.3,6.97804530377627
2662,0.3,7.062346301493454
535,0.3,6.94810581790139
1307,0.3,6.900665665535085
3009,0.3,6.94736859560186
8823,0.3,6.981387746036158
9868,0.3,6.633075657698137
7857,0.3,6.901665817515823
118,0.3,7.090191026047983
2483,0.3,7.051456889938227
9607,0.3,7.02293545298393
5811,0.3,6.892975084890066
1771,0.3,6.73883967408743
5667,0.3,7.350367948012847
9684,0.3,7.065844104770243
4080,0.3,7.152719602913141
9833,0.3,6.635017551774949
1316,0.3,6.679870204589963
2895,0.3,7.070566701083032
6695,0.3,6.966121627604687
9428,0.3,7.044378211380449
4260,0.3,7.012656381012459
549,0.3,6.8472997302361325
7110,0.3,7.24122336755341
5062,0.3,6.883762917937926
6648,0.3,6.824276807593614
5219,0.3,6.917280029209174
8067,0.3,6.843470564627452
4306,0.3,6.897103276235917
5980,0.3,6.818596726262138
5503,0.3,6.946630366450629
6277,0.3,6.864049172002357
6180,0.3,6.905379483930111
4583,0.3,7.137626063581095
