seed,rho,loco
8375,0.1,8.539849862256935
6936,0.1,8.77885830790586
5104,0.1,8.501906962893003
8514,0.1,9.283736347811846
4994,0.1,8.580382186593525
8980,0.1,8.686007588921568
3925,0.1,8.77387453589991
400,0.1,8.839461890254972
6864,0.1,8.673734778771758
7441,0.1,5.840882025998494
9669,0.1,8.84927642278334
5846,0.1,8.867282703696878
3294,0.1,8.467483904531889
7006,0.1,7.858536090136478
7297,0.1,8.69187762517807
5588,0.1,8.576291077272371
417,0.1,8.81153302430021
5838,0.1,8.951570410413677
6882,0.1,8.767922612567467
9965,0.1,8.529221407770947
9462,0.1,8.63824663020938
9173,0.1,8.456397959272834
1643,0.1,8.593315881782168
1808,0.1,8.71650520749041
1518,0.1,8.778829518700718
3473,0.1,8.79540638652106
8622,0.1,8.29147053189792
7542,0.1,8.599962387443842
3479,0.1,8.758037401724902
517,0.1,8.9595934859478
1043,0.1,8.807571651874435
9323,0.1,9.01377817652759
1003,0.1,8.715729488883188
2128,0.1,8.611155346694078
4286,0.1,8.66787479731866
1230,0.1,8.823668817068222
5036,0.1,8.832011471981714
4145,0.1,8.859134443621084
7308,0.1,8.761006944295765
4097,0.1,8.69786239963107
5948,0.1,8.787424360738717
4874,0.1,8.496825635424504
9865,0.1,8.683347157465825
313,0.1,9.07764089534145
5854,0.1,8.714579170669971
1158,0.1,8.923064279486733
7200,0.1,9.07387788009137
9714,0.1,7.807502197955525
2560,0.1,8.302851207983249
836,0.1,8.498528805966592
5187,0.1,8.228770136355626
6808,0.1,7.614164956368453
4820,0.1,8.809563031794987
7342,0.1,7.20225639020561
8036,0.1,8.403731299042102
3868,0.1,8.463394492397516
3975,0.1,8.090629165738367
4052,0.1,8.372628857049651
3385,0.1,8.648254317446591
5556,0.1,8.640844788804873
9778,0.1,8.442669227034255
6198,0.1,8.755366540759212
1957,0.1,8.457470053401506
255,0.1,8.906825899146595
8953,0.1,8.833902791230305
1707,0.1,8.412590307068404
6953,0.1,8.520290143948907
9184,0.1,8.729638766986143
5370,0.1,8.542576806992797
