seed,rho,loco
8375,0.1,10.397562364042006
6936,0.1,10.922470030686759
5104,0.1,10.931615696936754
8514,0.1,10.702167678036943
4994,0.1,10.503418921685915
8980,0.1,10.951208535589734
3925,0.1,11.514353746648895
400,0.1,9.946899420232757
6864,0.1,10.294704973411573
7441,0.1,9.90415699274247
9669,0.1,10.001171321527465
5846,0.1,10.364951659850783
3294,0.1,10.419246759482386
7006,0.1,11.024596369723572
7297,0.1,10.599131342279929
5588,0.1,10.453752325862897
417,0.1,11.450653143151518
5838,0.1,10.28046927330065
6882,0.1,11.321071307497528
9965,0.1,10.075519181046216
9462,0.1,10.795999444001517
9173,0.1,10.485020354678195
1643,0.1,9.992278036629305
1808,0.1,10.681501203555687
1518,0.1,10.418283517121175
3473,0.1,10.71004266793565
8622,0.1,10.569766695325884
7542,0.1,10.033471642993584
3479,0.1,10.15228487476815
517,0.1,11.269319252424543
1043,0.1,10.858450394820075
9323,0.1,10.273354655903832
1003,0.1,10.199600436071382
2128,0.1,11.009900701320692
4286,0.1,10.596925629694892
1230,0.1,10.835816534517583
5036,0.1,10.63291506958684
4145,0.1,10.649822558406921
7308,0.1,10.777625543538289
4097,0.1,10.756203453507053
5948,0.1,10.143506082767148
4874,0.1,11.2290345526277
9865,0.1,10.80814734126206
313,0.1,11.520540588607679
5854,0.1,11.342190361728147
1158,0.1,11.091668903755732
7200,0.1,11.063604413653373
9714,0.1,10.619251305160889
2560,0.1,10.145880204887874
836,0.1,9.865684713270042
5187,0.1,10.323439673759125
6808,0.1,11.209937314464423
4820,0.1,10.556769096838323
7342,0.1,10.690963830957497
8036,0.1,10.620984091155986
3868,0.1,9.775662201818264
3975,0.1,9.760068155392181
4052,0.1,10.010080421301435
3385,0.1,10.698525704066299
5556,0.1,10.02523883247838
9778,0.1,11.030459490030033
6198,0.1,10.50535653744502
1957,0.1,10.158527896268204
255,0.1,11.075553924413583
8953,0.1,10.485604272092248
1707,0.1,10.3942637048247
6953,0.1,10.003933465719841
9184,0.1,10.97086889293677
5370,0.1,10.211178142378259
5693,0.1,10.602131708935444
9246,0.1,10.247574068779201
1992,0.1,10.67350269168367
1050,0.1,10.649421651574071
3173,0.1,10.485330959247744
3417,0.1,10.832381130020643
6471,0.1,10.172261117503547
468,0.1,10.789483382563317
7043,0.1,10.278196454276735
2403,0.1,10.00846299512971
9931,0.1,10.200837987739716
9952,0.1,11.476028994980412
9986,0.1,10.636800608862607
6863,0.1,10.01286128655303
9007,0.1,10.596235665193307
6624,0.1,10.288213358551694
5365,0.1,10.116237326145498
5341,0.1,10.630040943395816
6726,0.1,10.833170058255492
3141,0.1,11.204928086322871
6826,0.1,10.67295180554978
7405,0.1,11.403248616594505
1189,0.1,10.481096768211664
654,0.1,10.561661593693879
8101,0.1,11.171759130604409
8817,0.1,10.125172955539126
1948,0.1,10.026641061441413
5881,0.1,11.104642951786477
6346,0.1,10.543347465849703
285,0.1,9.84897065828816
4794,0.1,10.219437316798675
5081,0.1,9.989922863355222
2933,0.1,10.562028339203318
8367,0.1,10.78943645951367
6147,0.1,11.547189492853231
2583,0.1,10.532180932146932
7564,0.1,10.180300098441984
7725,0.1,10.740052313737861
1046,0.1,10.968336475393155
5831,0.1,10.85917671728408
2738,0.1,10.155497706947793
3386,0.1,10.39301925205631
278,0.1,11.062682769818327
4552,0.1,11.556293981493248
9990,0.1,11.210158249705236
3844,0.1,9.83983541882902
5526,0.1,10.740261799394412
7303,0.1,10.409445607008957
3083,0.1,10.567753794832688
8258,0.1,10.669619599875354
7084,0.1,10.943415991219759
683,0.1,11.403968990359157
4020,0.1,10.81164728952115
9192,0.1,9.71636641934899
2662,0.1,9.814746672301489
535,0.1,11.852117221886814
1307,0.1,10.89883336984655
3009,0.1,10.502820329772621
8823,0.1,11.143929491382204
9868,0.1,10.224720802784125
7857,0.1,10.218111549267892
118,0.1,10.693378237598173
2483,0.1,10.954182396604589
9607,0.1,10.169574770402773
5811,0.1,10.41520421587885
1771,0.1,10.479509792177012
5667,0.1,10.376714728602476
9684,0.1,10.944442214313186
4080,0.1,11.652307831111774
9833,0.1,9.4380008578854
1316,0.1,9.428744948779059
2895,0.1,10.632875612496019
6695,0.1,10.4578394841435
