seed,rho,loco
8375,0.4,2.832958831197538
6936,0.4,2.6998470464505635
5104,0.4,2.7096104558602008
8514,0.4,2.679582998268881
4994,0.4,2.6713447813319275
8980,0.4,2.838867291130157
3925,0.4,2.7155789035924984
400,0.4,2.7717773236028878
6864,0.4,2.678265771450575
7441,0.4,2.664753571983499
9669,0.4,2.730649740094666
5846,0.4,2.9076409342481533
3294,0.4,2.6508416140399387
7006,0.4,2.830575954516778
7297,0.4,2.74369645944208
5588,0.4,2.735561094821451
417,0.4,2.7008225786550506
5838,0.4,2.841582961741569
6882,0.4,2.7355031899254136
9965,0.4,2.8083713473040763
9462,0.4,2.936305988822376
9173,0.4,2.838940744262656
1643,0.4,3.0238689852677663
1808,0.4,2.717909732938896
1518,0.4,2.9149531218972857
3473,0.4,3.0140797800849572
8622,0.4,2.7819795032501196
7542,0.4,2.6820543758595754
3479,0.4,2.6716684163647617
517,0.4,2.8890015322327303
1043,0.4,2.789577381348052
9323,0.4,2.7198357526374943
1003,0.4,2.8702071385592625
2128,0.4,2.78544581992049
4286,0.4,2.782839796841233
1230,0.4,2.8485267240951995
5036,0.4,2.7932814724899018
4145,0.4,2.736163566707771
7308,0.4,2.6275331511235116
4097,0.4,2.9253127141012287
5948,0.4,2.7195641427831045
4874,0.4,2.788606808256466
9865,0.4,2.5117909265720284
313,0.4,2.981106518104145
5854,0.4,2.7758471777358658
1158,0.4,2.8481129675774026
7200,0.4,2.8966029741435735
9714,0.4,2.55033796766212
2560,0.4,2.6860073620784783
836,0.4,2.6210455958702354
5187,0.4,2.7056943741368853
6808,0.4,2.676995446373958
4820,0.4,2.9295628691169977
7342,0.4,2.5912934385695428
8036,0.4,2.796371351022211
3868,0.4,2.71872503074251
3975,0.4,2.665990487660781
4052,0.4,2.6910045279915726
3385,0.4,2.787282357950467
5556,0.4,2.832703682064823
9778,0.4,2.8455963467709537
6198,0.4,2.8238278496047977
1957,0.4,2.951473721214266
255,0.4,2.787115383596227
8953,0.4,2.799057504465077
1707,0.4,2.782937850198345
6953,0.4,2.6392838044744575
9184,0.4,2.584994686338966
5370,0.4,2.602795849325509
5693,0.4,2.7971275600912984
9246,0.4,2.8478964711371217
1992,0.4,2.7151150038723495
1050,0.4,2.8194009865703515
3173,0.4,2.7366767660404285
3417,0.4,2.812241155416266
6471,0.4,2.61368481380165
468,0.4,2.8272183949726557
7043,0.4,2.8579794455904457
2403,0.4,2.78704012818699
9931,0.4,2.715991846514746
9952,0.4,2.9272905042418307
9986,0.4,2.7164075208178806
6863,0.4,2.7166040445917714
9007,0.4,2.8429864626650954
6624,0.4,2.9957951589858025
5365,0.4,2.6939062857462437
5341,0.4,2.7800647164487033
6726,0.4,2.7584926148291613
3141,0.4,2.745977100216736
6826,0.4,2.673006572996467
7405,0.4,2.8521843363721953
1189,0.4,2.6317204226706865
654,0.4,2.8416271639574084
8101,0.4,2.938170141351856
8817,0.4,2.761222462029851
1948,0.4,2.6974320379101737
5881,0.4,2.9617321002562385
6346,0.4,2.6843831070182507
285,0.4,2.7115494147077843
4794,0.4,2.6745980616328886
