seed,rho,loco
8375,0.4,2.826826835102626
6936,0.4,3.38315155695072
5104,0.4,2.4894589046249767
8514,0.4,3.0152634242274736
4994,0.4,2.579061866872573
8980,0.4,4.008829346666856
3925,0.4,4.005066013143786
400,0.4,3.196283983577981
6864,0.4,2.6337430355297435
7441,0.4,3.973021277693345
9669,0.4,3.499599567071458
5846,0.4,3.8168034182865984
3294,0.4,4.166952540267955
7006,0.4,2.804356916303856
7297,0.4,3.8332993594913933
5588,0.4,1.9109624483826249
417,0.4,3.9950088193561406
5838,0.4,4.152364953526636
6882,0.4,3.6891743487909405
9965,0.4,3.8977864585941493
9462,0.4,2.8857371335816655
9173,0.4,3.133626027220135
1643,0.4,3.98906745075543
1808,0.4,3.7508521260156193
1518,0.4,4.041274407321284
3473,0.4,2.8925172873093175
8622,0.4,3.230715913290453
7542,0.4,3.5070954983324096
3479,0.4,2.4248654873068904
517,0.4,3.837112046596131
1043,0.4,3.092406400910244
9323,0.4,2.9899418775288797
1003,0.4,3.29717980071503
2128,0.4,2.9295051834804653
4286,0.4,4.7150657211611
1230,0.4,3.204315997760135
5036,0.4,3.3402847711812047
4145,0.4,3.1706333345147257
7308,0.4,2.3387142156441456
4097,0.4,3.1852439703596502
5948,0.4,3.6490011607184787
4874,0.4,2.243343872438027
9865,0.4,1.7622418007810552
313,0.4,3.1916898848808017
5854,0.4,3.0037766109781128
1158,0.4,2.55536450322308
7200,0.4,2.2296304083146623
9714,0.4,1.955094981988406
2560,0.4,4.00569695340236
836,0.4,2.974518602227274
5187,0.4,3.5525414120730385
6808,0.4,3.228927434648533
4820,0.4,3.020888583452356
7342,0.4,1.5254922160450821
8036,0.4,2.6545951840228543
3868,0.4,2.9841570164307463
3975,0.4,3.1987149718331427
4052,0.4,1.7679820664195507
3385,0.4,4.320198058365529
5556,0.4,3.1387562506101716
9778,0.4,3.1399207813649905
6198,0.4,3.3004596399301995
1957,0.4,3.288237539736686
255,0.4,2.6358058143260106
8953,0.4,3.358502372483736
1707,0.4,3.8517539217105217
6953,0.4,1.8014743102816873
9184,0.4,2.604462073826106
5370,0.4,2.1372266520302965
5693,0.4,4.162577307398937
9246,0.4,4.456652711261471
1992,0.4,2.3950084830729637
1050,0.4,4.0493490377374535
3173,0.4,3.4358013133833545
3417,0.4,2.807350997355563
6471,0.4,3.0431762728986467
468,0.4,3.1869957451515667
7043,0.4,2.404809624263182
2403,0.4,3.3812787550761563
9931,0.4,2.776517945809669
9952,0.4,3.9160512594412236
9986,0.4,3.96526382285046
6863,0.4,3.731055025922508
9007,0.4,4.200172666042711
6624,0.4,3.238507114246959
5365,0.4,2.361992301003582
5341,0.4,2.0939018993159006
6726,0.4,2.5371151854018485
3141,0.4,4.347753432668261
6826,0.4,3.993814248418678
7405,0.4,3.1404925224449602
1189,0.4,1.8907418633835995
654,0.4,2.784558938579316
8101,0.4,2.1313896874700156
8817,0.4,2.4661804515431456
1948,0.4,2.561646777475108
5881,0.4,2.7995175255261184
6346,0.4,2.7626544231466177
285,0.4,3.79223772258333
4794,0.4,4.350550245840637
5081,0.4,4.222943759002774
2933,0.4,2.6382735687538013
8367,0.4,4.4205799637178504
6147,0.4,2.5137245845223486
2583,0.4,3.413844866388846
7564,0.4,2.831479729230809
7725,0.4,3.516499934408934
1046,0.4,4.128310814645161
5831,0.4,3.1603532684707787
2738,0.4,3.286648017457761
3386,0.4,2.701005366727971
278,0.4,2.580595773236684
4552,0.4,3.8143752011957837
9990,0.4,2.449238650172047
3844,0.4,2.9250850193836904
5526,0.4,2.1915516089281475
7303,0.4,2.392090941195187
3083,0.4,3.5256780671612358
8258,0.4,2.147678707478356
7084,0.4,3.5432936427419666
683,0.4,3.4308180929647705
4020,0.4,2.941132099115002
9192,0.4,3.063819309650672
2662,0.4,4.104744057336344
535,0.4,4.534988161457941
1307,0.4,2.801706443304713
3009,0.4,3.7356147218175266
8823,0.4,3.1688186835945533
