seed,rho,loco
8375,0.2,7.53079130300135
6936,0.2,7.2352239664927005
5104,0.2,7.783774725787115
8514,0.2,7.154179449882407
4994,0.2,7.526790369441095
8980,0.2,7.446428760550871
3925,0.2,7.526695212778123
400,0.2,7.114027904085478
6864,0.2,7.342655471730067
7441,0.2,7.552172770277912
9669,0.2,7.522689488715425
5846,0.2,7.296434143385482
3294,0.2,7.273754069377725
7006,0.2,7.345709386609702
7297,0.2,7.4405973076232685
5588,0.2,7.369549191637409
417,0.2,7.231389781520576
5838,0.2,7.4141233552365655
6882,0.2,7.4494536007824905
9965,0.2,7.270989304282556
9462,0.2,7.2362564590794305
9173,0.2,7.298953788663907
1643,0.2,7.385894160734172
1808,0.2,7.0584002781553945
1518,0.2,7.436456973255612
3473,0.2,7.228416067933111
8622,0.2,7.086985124894191
7542,0.2,7.560164276592388
3479,0.2,7.025682926898151
517,0.2,7.279796416041812
1043,0.2,7.540761352831868
9323,0.2,7.117425739978247
1003,0.2,7.205399712968537
2128,0.2,7.1063396724544265
4286,0.2,7.166289695984199
1230,0.2,7.389909058056022
5036,0.2,7.303715443165407
4145,0.2,7.394913679558356
7308,0.2,7.3374913366257735
4097,0.2,7.185450453394856
5948,0.2,7.2902309598630595
4874,0.2,7.348779567001628
9865,0.2,7.387244161354542
313,0.2,7.306062634695063
5854,0.2,6.944987900985077
1158,0.2,7.265801547398503
7200,0.2,7.488134722140794
9714,0.2,7.451290166911216
2560,0.2,7.19076485023188
836,0.2,7.43661360344661
5187,0.2,7.243264900167803
6808,0.2,7.726246375070545
4820,0.2,7.123006846131695
7342,0.2,7.228918234397731
8036,0.2,7.735953976396152
3868,0.2,7.209349044947233
3975,0.2,7.119082227834697
4052,0.2,7.311555005300004
3385,0.2,7.445547996825023
5556,0.2,7.2996668449910285
9778,0.2,7.3259980459071805
6198,0.2,7.224486640205958
1957,0.2,7.255164708759455
255,0.2,7.024367417584314
8953,0.2,7.58716895671532
1707,0.2,7.185141805096566
6953,0.2,7.027331439531134
9184,0.2,7.404528032145231
5370,0.2,7.293896644451873
