seed,rho,loco
8375,0.5,5.97569288034903
6936,0.5,5.754906729431391
5104,0.5,5.743068451348984
8514,0.5,5.740065864248399
4994,0.5,5.775895507284546
8980,0.5,5.829436792774818
3925,0.5,6.0005737840614835
400,0.5,6.474402132918858
6864,0.5,6.057136227819895
7441,0.5,5.802804817086903
9669,0.5,5.887461538015784
5846,0.5,6.062552742374351
3294,0.5,6.739592433470735
7006,0.5,6.255063930930962
7297,0.5,6.220682530367728
5588,0.5,5.976231905582594
417,0.5,5.994027971506745
5838,0.5,5.792893191978285
6882,0.5,6.171185909768896
9965,0.5,6.400291151588941
9462,0.5,5.972801769255775
9173,0.5,6.0769075940972455
1643,0.5,6.278438056188779
1808,0.5,5.7687113875119405
1518,0.5,6.4768201727475185
3473,0.5,7.12625801007848
8622,0.5,6.467884164441185
7542,0.5,6.092302964361169
3479,0.5,6.372277808640652
517,0.5,6.715581135291657
1043,0.5,6.558372810079888
9323,0.5,5.733788156651353
1003,0.5,5.970202120672867
2128,0.5,6.074038627385735
4286,0.5,6.346006127576646
1230,0.5,6.755729414278196
5036,0.5,6.213383301075692
4145,0.5,5.700742575749668
7308,0.5,5.740978078563073
4097,0.5,6.048750421044579
5948,0.5,6.977444221923742
4874,0.5,6.006621100322602
9865,0.5,5.572442655525634
313,0.5,6.67285411606381
5854,0.5,5.6992187099153675
1158,0.5,5.63599680172177
7200,0.5,6.156099522820853
9714,0.5,5.47072458389674
2560,0.5,5.61243624845685
836,0.5,6.717764373149067
5187,0.5,5.894024681384056
6808,0.5,5.577121156979819
4820,0.5,6.320303484555261
7342,0.5,5.475917145671584
8036,0.5,7.292707960525755
3868,0.5,6.429483206023557
3975,0.5,5.793113430339666
4052,0.5,5.794459872810896
3385,0.5,6.381063070636315
5556,0.5,6.230028230739271
9778,0.5,5.842601863443985
6198,0.5,6.029230683066081
1957,0.5,6.622530696957568
255,0.5,5.923770628902478
8953,0.5,5.87106136035827
1707,0.5,6.361363301840901
6953,0.5,6.072024076665073
9184,0.5,5.527736140128294
5370,0.5,6.113266300334683
5693,0.5,6.671545759255508
9246,0.5,5.735971272636835
1992,0.5,5.9407018726465886
1050,0.5,6.081814105122578
3173,0.5,6.158269060157684
3417,0.5,6.100184125798743
6471,0.5,5.632004172785138
468,0.5,6.14607183831691
7043,0.5,6.244440540233814
2403,0.5,6.439078306381354
9931,0.5,6.159746424324656
9952,0.5,5.840077364362883
9986,0.5,6.264321533454298
6863,0.5,5.9323509996179045
9007,0.5,6.117584527032208
6624,0.5,6.573097295706786
5365,0.5,6.051757494880848
5341,0.5,6.166507754664297
6726,0.5,6.174013677696868
3141,0.5,6.054632435521561
6826,0.5,6.058813871067641
7405,0.5,6.322900699453798
1189,0.5,5.919882820883633
654,0.5,6.3091643103034265
8101,0.5,5.983121089957001
8817,0.5,5.902574224010651
1948,0.5,5.7425560445235035
5881,0.5,6.515274390424745
6346,0.5,6.022915214018785
285,0.5,6.517170046938283
4794,0.5,5.409285505571028
5081,0.5,5.8770170899266905
2933,0.5,6.124500675037446
8367,0.5,6.095003918729026
6147,0.5,5.878803969360663
2583,0.5,6.022824789755068
7564,0.5,6.442636498013237
7725,0.5,5.922026631553695
1046,0.5,6.636077395759312
5831,0.5,5.9638853040917965
2738,0.5,5.681197911653948
3386,0.5,6.050786933551191
278,0.5,5.867006197118599
4552,0.5,5.994540089568869
9990,0.5,6.217588152338555
3844,0.5,5.75895958089456
5526,0.5,5.870188776373941
7303,0.5,5.848056836557416
3083,0.5,6.059950462314345
8258,0.5,6.177443661207001
7084,0.5,5.763805665219735
683,0.5,5.63790606958
4020,0.5,5.996563382735503
9192,0.5,6.082166662709919
2662,0.5,5.533266960464404
535,0.5,6.250758163315802
1307,0.5,5.775578767574581
3009,0.5,5.628423727054811
8823,0.5,5.975532743582428
9868,0.5,6.488492088648434
7857,0.5,5.9769435795214285
118,0.5,5.655614885429844
2483,0.5,5.8482483884877725
9607,0.5,6.690207215150346
